,STN---,WBAN,YEARMODA,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
0,8403,99999,20140101,85.8,54.4,1010.3,9999.9,6.2,0.5,1.9,999.9,102.7*,69.3*,0.00I,999.9,0
1,8403,99999,20140102,86.3,54.1,1010.4,9999.9,6.2,0.4,1.9,999.9,102.9*,71.1*,0.00I,999.9,0
2,8403,99999,20140103,85.9,54.6,1011.2,9999.9,6.2,0.5,1.0,999.9,101.1*,72.0*,0.00I,999.9,0
3,8403,99999,20140104,85.6,49.7,1011.2,9999.9,6.1,0.5,1.0,999.9,102.7*,70.5*,0.00I,999.9,0
4,8403,99999,20140105,84.8,52.1,1010.1,9999.9,6.2,0.5,1.9,999.9,102.0*,66.6*,0.00I,999.9,0
5,8403,99999,20140106,86.8,56.1,1008.5,9999.9,6.2,0.7,2.9,999.9,102.0*,70.9*,0.00I,999.9,0
6,8403,99999,20140107,87.7,56.4,1007.8,9999.9,6.1,0.8,2.9,999.9,103.6*,73.6*,0.00I,999.9,0
7,8403,99999,20140108,89.7,58.2,1009.2,9999.9,6.2,0.4,1.9,999.9,104.0*,74.1*,0.00I,999.9,0
8,8403,99999,20140109,86.8,54.9,1010.5,9999.9,6.2,0.4,1.9,999.9,101.5*,75.7*,99.99,999.9,10000
9,8403,99999,20140110,85.8,52.9,1011.6,9999.9,6.2,0.6,1.9,999.9,101.7*,73.2*,0.00I,999.9,0
10,8403,99999,20140111,84.7,54.1,1011.6,9999.9,6.2,1.1,5.1,999.9,102.6*,69.3*,0.00I,999.9,0
11,8403,99999,20140112,87.0,56.7,1011.8,9999.9,6.1,0.7,2.9,999.9,102.2*,72.1*,0.00I,999.9,0
12,8403,99999,20140113,86.4,54.5,1011.3,9999.9,6.2,0.5,1.9,999.9,103.8*,71.8*,0.00I,999.9,0
13,8403,99999,20140114,85.3,51.9,1011.0,9999.9,6.0,0.5,1.0,999.9,103.1*,70.0*,0.00I,999.9,0
14,8403,99999,20140115,84.7,52.9,1012.3,9999.9,6.0,0.4,1.9,999.9,101.3*,67.8*,0.00I,999.9,0
15,8403,99999,20140116,85.8,53.6,1013.5,9999.9,6.1,0.6,1.9,999.9,100.9*,71.1*,0.00I,999.9,0
16,8403,99999,20140117,85.2,52.2,1011.5,9999.9,5.9,0.4,1.0,999.9,100.4*,68.9*,0.00I,999.9,0
17,8403,99999,20140118,84.8,54.5,1011.3,9999.9,6.2,0.8,4.1,999.9,100.8*,68.5*,0.00I,999.9,0
18,8403,99999,20140119,86.1,54.6,1012.0,9999.9,6.2,0.6,1.9,999.9,102.4*,71.1*,0.00I,999.9,0
19,8403,99999,20140120,87.3,54.5,1011.6,9999.9,6.2,0.6,2.9,999.9,104.4*,73.0*,0.00I,999.9,0
20,8403,99999,20140121,87.6,53.1,1011.2,9999.9,6.0,0.4,1.9,999.9,103.5*,72.0*,0.00I,999.9,0
21,8403,99999,20140122,85.5,53.3,1011.4,9999.9,6.0,0.6,1.0,999.9,100.9*,71.2*,0.00I,999.9,0
22,8403,99999,20140123,84.4,48.5,1011.5,9999.9,6.1,0.4,1.0,999.9,100.6*,70.3*,0.00I,999.9,0
23,8403,99999,20140124,83.3,48.5,1010.5,9999.9,6.2,0.4,1.0,999.9,100.6*,67.6*,0.00I,999.9,0
24,8403,99999,20140125,84.2,50.0,1009.7,9999.9,6.1,0.8,1.9,999.9,101.5*,66.6*,99.99,999.9,10000
25,8403,99999,20140126,85.4,51.7,1009.1,9999.9,6.0,1.2,6.0,999.9,99.0*,69.8*,0.00I,999.9,0
26,8403,99999,20140127,86.4,55.7,1009.4,9999.9,6.0,0.9,2.9,999.9,100.2*,72.7*,0.00I,999.9,0
27,8403,99999,20140128,87.6,56.0,1009.2,9999.9,6.1,1.0,4.1,999.9,102.4*,73.2*,0.00I,999.9,0
28,8403,99999,20140129,88.7,58.2,1010.0,9999.9,6.1,1.0,2.9,999.9,103.8*,74.8*,0.00I,999.9,0
29,8403,99999,20140130,88.8,59.0,1010.2,9999.9,6.1,1.1,4.1,999.9,102.9*,77.9*,0.00I,999.9,0
30,8403,99999,20140131,88.7,56.2,1009.2,9999.9,6.2,1.1,4.1,999.9,103.5*,76.5*,0.00I,999.9,0
31,8403,99999,20140201,87.9,54.1,1008.8,9999.9,5.7,1.0,4.1,999.9,104.5*,72.7*,0.00I,999.9,0
32,8403,99999,20140202,87.9,54.7,1007.5,9999.9,6.0,0.8,4.1,999.9,103.6*,72.9*,0.00I,999.9,0
33,8403,99999,20140203,87.8,52.7,1007.8,9999.9,6.1,0.5,1.9,999.9,104.4*,75.2*,0.00I,999.9,0
34,8403,99999,20140204,87.7,50.4,1006.8,9999.9,6.2,0.7,1.9,999.9,103.8*,70.2*,0.00I,999.9,0
35,8403,99999,20140205,89.0,52.4,1006.3,9999.9,6.1,0.7,2.9,999.9,107.1*,71.6*,0.00I,999.9,0
36,8403,99999,20140206,87.5,54.2,1006.4,9999.9,6.0,0.7,4.1,999.9,105.8*,72.5*,0.00I,999.9,0
37,8403,99999,20140207,90.8,58.1,1006.5,9999.9,5.8,0.6,1.9,999.9,106.5*,75.0*,99.99,999.9,10000
38,8403,99999,20140208,91.2,57.2,1007.1,9999.9,6.1,0.7,2.9,999.9,104.7*,76.8*,0.00I,999.9,0
39,8403,99999,20140209,88.9,55.6,1007.7,9999.9,6.2,0.9,4.1,999.9,101.8*,78.6*,0.00I,999.9,0
40,8403,99999,20140210,89.4,52.2,1007.8,9999.9,6.1,0.4,1.9,999.9,103.8*,74.1*,0.00I,999.9,0
41,8403,99999,20140211,86.1,53.7,1008.4,9999.9,5.9,0.8,1.9,999.9,100.4*,74.7*,0.00I,999.9,0
42,8403,99999,20140212,88.8,53.9,1006.6,9999.9,6.0,0.4,2.9,999.9,105.3*,72.9*,0.00I,999.9,0
43,8403,99999,20140213,88.4,57.1,1007.6,9999.9,6.0,0.6,2.9,999.9,101.7*,78.3*,0.00I,999.9,0
44,8403,99999,20140214,89.1,58.9,1008.6,9999.9,6.2,1.0,2.9,999.9,103.1*,79.2*,0.00I,999.9,0
45,8403,99999,20140215,90.9,59.7,1007.0,9999.9,6.1,1.0,2.9,999.9,105.6*,78.1*,0.00I,999.9,0
46,8403,99999,20140216,88.5,57.0,1007.1,9999.9,6.0,1.2,2.9,999.9,103.5*,78.1*,0.00I,999.9,0
47,8403,99999,20140217,87.8,55.0,1009.7,9999.9,6.1,0.9,5.1,999.9,103.1*,76.8*,0.00I,999.9,0
48,8403,99999,20140218,89.8,57.4,1010.2,9999.9,6.2,1.1,5.1,999.9,105.8*,76.8*,0.00I,999.9,0
49,8403,99999,20140219,89.9,55.8,1009.4,9999.9,5.9,0.7,2.9,999.9,106.0*,74.8*,0.00I,999.9,0
50,8403,99999,20140220,89.1,54.3,1010.3,9999.9,5.9,0.7,2.9,999.9,104.9*,75.2*,0.00I,999.9,0
51,8403,99999,20140221,87.8,54.0,1011.8,9999.9,5.7,0.5,2.9,999.9,103.3*,74.5*,0.00I,999.9,0
52,8403,99999,20140222,88.6,50.5,1010.7,9999.9,6.1,0.9,5.1,999.9,105.8*,74.7*,0.00I,999.9,0
53,8403,99999,20140223,87.0,47.2,1008.9,9999.9,5.5,1.4,4.1,999.9,104.0*,72.9*,99.99,999.9,10000
54,8403,99999,20140224,86.4,55.7,1008.8,9999.9,5.8,2.1,6.0,999.9,99.3*,74.8*,0.00I,999.9,0
55,8403,99999,20140225,88.9,59.3,1009.1,9999.9,6.1,1.9,7.0,999.9,100.2*,77.5*,0.00I,999.9,0
56,8403,99999,20140226,88.6,58.9,1010.3,9999.9,6.2,2.1,6.0,999.9,102.0*,77.2*,0.00I,999.9,0
57,8403,99999,20140227,90.0,55.7,1010.2,9999.9,6.1,1.5,6.0,999.9,105.6*,77.5*,0.00I,999.9,0
58,8403,99999,20140228,90.6,54.2,1009.2,9999.9,6.2,1.4,5.1,999.9,104.9*,78.4*,99.99,999.9,10000
59,8403,99999,20140301,87.7,58.3,1010.1,9999.9,6.2,2.4,8.9,17.1,97.9*,78.3*,0.00I,999.9,0
60,8403,99999,20140302,88.4,59.6,1009.8,9999.9,6.1,2.1,7.0,15.9,102.7*,77.5*,0.00I,999.9,0
61,8403,99999,20140303,89.2,60.3,1009.0,9999.9,5.7,2.7,7.0,13.0,104.5*,78.6*,0.00I,999.9,0
62,8403,99999,20140304,90.7,62.7,1008.6,9999.9,6.0,3.8,8.0,17.1,105.1*,79.7*,0.00I,999.9,0
63,8403,99999,20140305,89.0,63.3,1009.4,9999.9,6.1,2.4,7.0,999.9,102.2*,79.5*,0.00I,999.9,0
64,8403,99999,20140306,90.5,56.9,1008.5,9999.9,5.8,1.3,7.0,13.0,106.9*,78.4*,0.00I,999.9,0
65,8403,99999,20140307,89.7,55.7,1009.8,9999.9,6.1,1.7,8.9,15.0,105.8*,77.7*,0.00I,999.9,0
66,8403,99999,20140308,91.6,57.8,1009.9,9999.9,6.2,1.6,8.0,15.0,107.1*,77.7*,0.00I,999.9,0
67,8403,99999,20140309,87.9,61.2,1009.4,9999.9,6.2,2.1,8.9,14.0,102.2*,79.2*,99.99,999.9,10000
68,8403,99999,20140310,88.6,60.1,1008.4,9999.9,6.2,2.0,7.0,13.0,102.9*,78.4*,0.00I,999.9,0
69,8403,99999,20140311,89.8,60.7,1008.4,9999.9,6.2,2.4,8.0,15.9,102.0*,79.9*,0.00I,999.9,0
70,8403,99999,20140312,89.9,63.9,1009.1,9999.9,5.9,4.3,11.1,21.0,105.6*,80.2*,0.00I,999.9,0
71,8403,99999,20140313,88.3,66.2,1010.0,9999.9,6.2,3.4,8.0,15.0,102.6*,78.1*,0.00I,999.9,0
72,8403,99999,20140314,88.5,65.0,1009.6,9999.9,6.1,2.3,7.0,999.9,104.5*,78.4*,0.00I,999.9,0
73,8403,99999,20140315,90.3,65.7,1010.4,9999.9,6.0,3.0,7.0,13.0,103.5*,79.7*,99.99,999.9,10000
74,8403,99999,20140316,84.2,70.8,1011.2,9999.9,6.2,2.3,5.1,999.9,98.1*,78.3*,99.99,999.9,10000
